rank,name,review_count,url
1,"Premier 30g Protein PLUS Energy and Immune Support Shakes, Chocolate, 11 fl oz, 18-pack",46722,https://www.costco.com/premier-30g-protein-plus-energy-and-immune-support-shakes-chocolate-11-fl-oz-18-pack.product.100651919.html
2,"Kirkland Signature Walnut Halves, 3 lbs",6226,https://www.costco.com/kirkland-signature-walnut-halves-3-lbs.product.100119388.html
3,"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",5062,https://www.costco.com/kirkland-signature-peanut-butter-filled-pretzel-nuggets-55-oz.product.100393423.html
4,"Lotus Biscoff Cookies, 8.8 oz., 4 Count",2844,https://www.costco.com/lotus-biscoff-cookies-88-oz-4-count.product.100383407.html
5,"Popcornopolis Zebra Popcorn 24 oz, 3-count",2708,https://www.costco.com/popcornopolis-zebra-popcorn-24-oz-3-count.product.100465134.html
6,"HONEY MAID Graham Crackers, 14.4 oz, 4-count",2467,https://www.costco.com/honey-maid-graham-crackers-144-oz-4-count.product.100369056.html
7,"Kirkland Signature, Organic Applesauce, 3.17 oz, 24-Count",2462,https://www.costco.com/kirkland-signature-organic-applesauce-317-oz-24-count.product.100334203.html
8,"Kirkland Signature Fancy Whole Cashews, 2.5 lbs",1845,https://www.costco.com/kirkland-signature-fancy-whole-cashews-25-lbs.product.100668922.html
9,"Kirkland Signature Extra Fancy Mixed Nuts, Salted, 2.5 lbs",1775,https://www.costco.com/kirkland-signature-extra-fancy-mixed-nuts-salted-25-lbs.product.4000042734.html
10,"Premium Saltine Crackers, Original, 48 oz, 12-count",1639,https://www.costco.com/premium-saltine-crackers-original-48-oz-12-count.product.100381603.html
11,"RITZ Crackers, Original, 61.65 oz, 18-count",1559,https://www.costco.com/ritz-crackers-original-6165-oz-18-count.product.100369040.html
12,"Wheat Thins Whole Grain Wheat Crackers, Original, 40 oz",1438,https://www.costco.com/wheat-thins-whole-grain-wheat-crackers-original-40-oz.product.100381502.html
13,"Sun-Maid, Raisins, 2.25 lbs, 2-Count",1326,https://www.costco.com/sun-maid-raisins-225-lbs-2-count.product.100381615.html
14,"Pirate's Booty Aged White Cheddar Snack, 0.5 oz, 40-count",1294,https://www.costco.com/pirates-booty-aged-white-cheddar-snack-05-oz-40-count.product.100493043.html
15,"FITCRUNCH Protein Bars, 16g Protein, Chocolate Peanut Butter, 1.62 oz, 18-count",1276,https://www.costco.com/fitcrunch-protein-bars-16g-protein-chocolate-peanut-butter-162-oz-18-count.product.100401360.html
16,"Kirkland Signature Extra Fancy Mixed Nuts, Unsalted, 2.5 lbs",1136,https://www.costco.com/kirkland-signature-extra-fancy-mixed-nuts-unsalted-25-lbs.product.4000042930.html
17,"Lorna Doone Shortbread Cookies, 1.5 oz, 30-count",1128,https://www.costco.com/lorna-doone-shortbread-cookies-15-oz-30-count.product.100409510.html
18,"Kirkland Signature Protein Bar, Variety Pack, 2.12 oz, 20-count",857,https://www.costco.com/kirkland-signature-protein-bar-variety-pack-212-oz-20-count.product.100296198.html
19,"Newtons Fig Cookies, 2 oz, 24-count",827,https://www.costco.com/newtons-fig-cookies-2-oz-24-count.product.100415929.html
20,"Nutter Butter Sandwich Cookies, 1.9 oz, 24-count",826,https://www.costco.com/nutter-butter-sandwich-cookies-19-oz-24-count.product.100415941.html
21,"Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz, 30-count",808,https://www.costco.com/kirkland-signature-snacking-nuts-variety-pack-16-oz-30-count.product.100334734.html
22,"Nature's Garden Organic Trail Mix Snack Packs, Variety Pack, 1.2 oz, 24-count",807,https://www.costco.com/natures-garden-organic-trail-mix-snack-packs-variety-pack-12-oz-24-count.product.100347332.html
23,"Nilla Wafers Cookies, 15 oz, 2 Count",756,https://www.costco.com/nilla-wafers-cookies-15-oz-2-count.product.100403325.html
24,"Wonderful Pistachios, Salt & Pepper, 3 lbs",742,https://www.costco.com/wonderful-pistachios-salt--pepper-3-lbs.product.100397092.html
25,"Go Raw Sprouted Organic Pumpkin Seeds with Sea Salt, 22 oz",710,https://www.costco.com/go-raw-sprouted-organic-pumpkin-seeds-with-sea-salt-22-oz.product.100698498.html
26,"Grandma's Cookies, Variety Pack, 2.5 oz, 33-count",676,https://www.costco.com/grandmas-cookies-variety-pack-25-oz-33-count.product.100381536.html
27,"OREO Chocolate Sandwich Cookies, 2.4 oz, 30-count",667,https://www.costco.com/oreo-chocolate-sandwich-cookies-24-oz-30-count.product.100381426.html
28,"Ready Protein Bar, Chocolate Peanut Butter and Sea Salt, 24-count, 2 pack",657,https://www.costco.com/ready-protein-bar-chocolate-peanut-butter-and-sea-salt-24-count-2-pack.product.100652206.html
29,"Nature's Bakery Fig Bar, Variety Pack, 2 oz, 40-count",616,https://www.costco.com/natures-bakery-fig-bar-variety-pack-2-oz-40-count.product.100825666.html
30,"Ritz Crackers Handi-Snacks, Crackers 'N Cheese Dip, 0.95 oz, 30-Count",592,https://www.costco.com/ritz-crackers-handi-snacks-crackers-n-cheese-dip-095-oz-30-count.product.100381591.html
31,"Pure Organic Layered Fruit Bars, Variety Pack, 0.63 oz, 28-count",587,https://www.costco.com/pure-organic-layered-fruit-bars-variety-pack--063-oz-28-count.product.100679927.html
32,"Kirkland Signature Trail Mix Snack Packs, 2 oz, 28-count",580,https://www.costco.com/kirkland-signature-trail-mix-snack-packs-2-oz-28-count.product.100770569.html
33,"Kirkland Signature Chewy Protein Bar, Peanut Butter & Semisweet Chocolate Chip, 1.41 oz, 42-Count",559,https://www.costco.com/kirkland-signature-chewy-protein-bar-peanut-butter--semisweet-chocolate-chip-141-oz-42-count.product.100664982.html
34,"Chomps Original Beef Sticks, Mild, 12 Individually Wrapped Sticks",556,https://www.costco.com/chomps-original-beef-sticks-mild-12-individually-wrapped-sticks.product.100741625.html
35,"Kirkland Signature Soft & Chewy Granola Bars, 0.85 oz, 64-count",510,https://www.costco.com/kirkland-signature-soft--chewy-granola-bars-085-oz-64-count.product.100455677.html
36,"Nature's Garden, Probiotic Strawberry Yoggies, 0.7 oz, 30-count",493,https://www.costco.com/natures-garden-probiotic-strawberry-yoggies-07-oz--30-count.product.4000111758.html
37,"Crunchmaster 6-Seed Multi-Grain Crackers, 28 oz",362,https://www.costco.com/crunchmaster-6-seed-multi-grain-crackers-28-oz.product.4000332792.html
38,"Clif Builder's Protein Bar, Variety Pack, 2.40 oz, 18-count",331,https://www.costco.com/clif-builders-protein-bar-variety-pack-240-oz-18-count.product.100403296.html
39,"Country Archer Grass-Fed Beef Stick Minis Original, 0.5 oz, 28-Count",330,https://www.costco.com/country-archer-grass-fed-beef-stick-minis-original-05-oz-28-count.product.100538227.html
40,"OREO Sandwich Cookies, Variety Pack, 60-count",329,https://www.costco.com/oreo-sandwich-cookies-variety-pack-60-count.product.100699040.html
41,"RXBAR Protein Bars, Variety Pack, 14-count",320,https://www.costco.com/rxbar-protein-bars-variety-pack-14-count.product.4000204335.html
42,"BUILT Puff Protein Bar, Variety Pack, 1.41 oz, 14-count",259,https://www.costco.com/built-puff-protein-bar-variety-pack-141-oz-14-count.product.4000294926.html
43,"CLIF BAR Energy Bar, Variety Pack, 2.4 oz, 26-count",245,https://www.costco.com/clif-bar-energy-bar-variety-pack-24-oz-26-count.product.100785499.html
44,"Clif Kid ZBar Organic Granola Bar, Variety Pack, 1.27 oz, 36-count",229,https://www.costco.com/clif-kid-zbar-organic-granola-bar-variety-pack-127-oz-36-count.product.100403275.html
45,"Nabisco Cookies & Crackers, Variety Pack, 1 oz, 40-count",166,https://www.costco.com/nabisco-cookies--crackers-variety-pack-1-oz-40-count.product.4000252966.html
46,"Annie's Organic Bunny Snack Pack Baked Crackers and Graham Snacks, 1.07 oz, Variety Pack, 36-count",165,https://www.costco.com/annies-organic-bunny-snack-pack-baked-crackers-and-graham-snacks-107-oz-variety-pack-36-count.product.4000045056.html
47,"RITZ Bits Cracker Sandwiches, Cheese, 1.5 oz, 30-count",158,https://www.costco.com/ritz-bits-cracker-sandwiches-cheese-15-oz-30-count.product.100620140.html
48,"Kirkland Signature Grass-fed Beef Sticks, 1.15 oz, 12-count",157,https://www.costco.com/kirkland-signature-grass-fed-beef-sticks-115-oz-12-count.product.4000367875.html
49,"Cheetos Crunchy, Flamin' Hot, 1 oz, 50-count",148,https://www.costco.com/cheetos-crunchy-flamin-hot-1-oz-50-count.product.100409457.html
50,"Chips Ahoy! Cookies, Chocolate Chip, 1.55 oz, 24-count",118,https://www.costco.com/chips-ahoy-cookies-chocolate-chip-155-oz-24-count.product.100744619.html
